opType,accCore,count,totalTime,avgTime,maxTime,minTime
MatMulV3,AI_CORE,980,172880.410,176.410,249.470,80.030
FlashAttentionScore,MIX_AIC,140,62485.640,446.330,457.910,434.270
RotaryMul,AI_VECTOR_CORE,280,34071.420,121.680,193.180,60.610
Mul,AI_VECTOR_CORE,155,32598.780,210.310,241.210,6.600
RmsNorm,AI_VECTOR_CORE,565,31085.650,55.020,85.210,42.000
Swish,AI_VECTOR_CORE,140,24572.550,175.520,196.600,157.520
RepeatInterleaveV2,AI_VECTOR_CORE,280,22079.570,78.860,89.270,72.330
Add,AI_VECTOR_CORE,280,17904.910,63.950,71.270,58.950
BroadcastTo,AI_VECTOR_CORE,280,431.160,1.540,1.940,1.280
Transpose,AI_VECTOR_CORE,10,225.530,22.550,23.620,21.600
GatherV2,AI_VECTOR_CORE,5,135.600,27.120,28.560,26.520
Cos,AI_VECTOR_CORE,5,131.810,26.360,26.640,25.580
Sin,AI_VECTOR_CORE,5,123.610,24.720,24.900,24.600
Cast,AI_VECTOR_CORE,15,76.730,5.120,9.500,2.760
ConcatD,AI_VECTOR_CORE,5,46.960,9.390,9.920,8.960
